userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Adi Wibowo,2,2022-08-23 07:53:09,"Aplikasi ini tidak bisa ngapa2in. Baru 2 pelajaran kesananya gak bisa, video gak bisa di buka",23,8,2022,7,53,9
Aisyah 23,2,2022-04-04 04:47:25,Ada bug di bagian dialog untuk pemula A1 pelajaran 27,4,4,2022,4,47,25
Elisabeth Orchid,4,2021-11-16 06:50:45,Tolong tambahkan Bahasa Korea yaa☺️☺️,16,11,2021,6,50,45
Zahran Firdaus,4,2021-03-19 12:17:17,"Bagus, tapi sering bug",19,3,2021,12,17,17
Yos Lehar,3,2021-01-27 04:15:13,Aku ngasih rating 3 dulu soalxa aplikasinya blum kucoba,27,1,2021,4,15,13
Rediansah ngok,5,2020-11-21 12:54:49,Xixi,21,11,2020,12,54,49
Melkianus Ullu Male,5,2020-10-31 02:38:27,Sangat membantu,31,10,2020,2,38,27
Indah Ihdhinashta,4,2020-10-17 03:04:13,"Bagus banget siih, tapi knp gak bisa akses pake kuota belajar??",17,10,2020,3,4,13
Aulia Robbani,5,2020-08-11 12:05:21,"This app ia good for improve my English better.So,you should download this app because this app very good🎓⭐",11,8,2020,12,5,21
Lucy Tyas,3,2020-08-10 17:11:19,Mau batalin langganan gimana ya,10,8,2020,17,11,19
Op. Somahap TV Channel,4,2020-08-09 07:29:45,Ok,9,8,2020,7,29,45
Rief,5,2020-07-05 22:48:37,Lebih bagus lagi kalo geŕatis hahaha,5,7,2020,22,48,37
M. IBNU,5,2020-06-29 01:40:11,Ini sangat membantu dalam belajsr berbagai bahasa .,29,6,2020,1,40,11
rante patalo,3,2020-06-26 06:49:34,Sgt bagus untk bljar bhsa inggris,26,6,2020,6,49,34
Mazawais,5,2020-06-24 11:58:03,"Saya suka aplikasi ini, tapi sayang bayarnya agak mahal",24,6,2020,11,58,3
Abdan Izaa Sollaa,3,2020-06-24 06:05:23,3 dulu kalo saya langsung bisa bahasa inggris saya kasih bintang 5,24,6,2020,6,5,23
Anita vIolin,4,2020-05-31 02:51:31,Busu itu keren bangettt beneran dehh ngerti banget alhamdulillah tapi cara pembayarannya itu cukup rumit,31,5,2020,2,51,31
Hafiz Adra,2,2020-05-27 07:13:37,Apk yg bagus. Tapi untuk berlangganan nggak bisa bayar perbulan,27,5,2020,7,13,37
Rahmat Fauzi,4,2020-05-13 13:56:06,Lumayan buat belajar bahasa Inggris,13,5,2020,13,56,6
Risma R,5,2020-05-05 06:27:32,Enakan belajarnya bikin kita nyaman. Pokok nya cara pembelajaran nya itu seru dan nyaman gitu coba aja,5,5,2020,6,27,32
